id,name,slug,description,icon
16219,Jewelry & Accessories (ID 16219),jewelry-accessories-16219,"Auto-generated category Jewelry & Accessories (ID 16219): Jewelry, gems, watches, and tags.",gem
61626,Toys & Games (ID 61626),toys-games-61626,"Auto-generated category Toys & Games (ID 61626): Toys, puzzles, and kids board games.",puzzle-piece
64179,Jewelry & Accessories (ID 64179),jewelry-accessories-64179,"Auto-generated category Jewelry & Accessories (ID 64179): Jewelry, gems, watches, and tags.",gem
65362,Books (ID 65362),books-65362,"Auto-generated category Books (ID 65362): Printed books, novels, and textbooks.",book
84264,Cosmetics (ID 84264),cosmetics-84264,"Auto-generated category Cosmetics (ID 84264): Beauty, skin care, and makeup products.",spa
85955,Food & Groceries (ID 85955),food-groceries-85955,"Auto-generated category Food & Groceries (ID 85955): Groceries, organic food, and snacks.",utensils
119741,Clothing (ID 119741),clothing-119741,"Auto-generated category Clothing (ID 119741): Apparel, garments, and fashion accessories.",shirt
137459,Jewelry & Accessories (ID 137459),jewelry-accessories-137459,"Auto-generated category Jewelry & Accessories (ID 137459): Jewelry, gems, watches, and tags.",gem
144028,Shoes (ID 144028),shoes-144028,"Auto-generated category Shoes (ID 144028): Footwear for men, women and kids.",shoe-prints
149192,Books (ID 149192),books-149192,"Auto-generated category Books (ID 149192): Printed books, novels, and textbooks.",book
154040,Electronics (ID 154040),electronics-154040,"Auto-generated category Electronics (ID 154040): Consumer electronics, gadgets, and devices.",laptop
174239,Jewelry & Accessories (ID 174239),jewelry-accessories-174239,"Auto-generated category Jewelry & Accessories (ID 174239): Jewelry, gems, watches, and tags.",gem
181348,Shoes (ID 181348),shoes-181348,"Auto-generated category Shoes (ID 181348): Footwear for men, women and kids.",shoe-prints
194806,Toys & Games (ID 194806),toys-games-194806,"Auto-generated category Toys & Games (ID 194806): Toys, puzzles, and kids board games.",puzzle-piece
200278,Shoes (ID 200278),shoes-200278,"Auto-generated category Shoes (ID 200278): Footwear for men, women and kids.",shoe-prints
238434,Cosmetics (ID 238434),cosmetics-238434,"Auto-generated category Cosmetics (ID 238434): Beauty, skin care, and makeup products.",spa
245312,Books (ID 245312),books-245312,"Auto-generated category Books (ID 245312): Printed books, novels, and textbooks.",book
285583,Furniture (ID 285583),furniture-285583,Auto-generated category Furniture (ID 285583): Home and office furniture items.,chair
293630,Electronics (ID 293630),electronics-293630,"Auto-generated category Electronics (ID 293630): Consumer electronics, gadgets, and devices.",laptop
