id,variant_id,attribute_value_id
1,1,5
2,2,6
3,3,8
4,4,8
5,5,8
6,6,9
7,7,10
8,8,5
9,9,6
10,10,8
11,11,8
12,12,5
13,13,6
14,14,8
15,15,8
16,16,8
17,17,8
18,18,9
19,19,10
20,20,8
21,21,8
22,22,1
23,23,4
24,24,8
25,25,8
26,26,1
27,27,4
28,28,8
29,29,8
30,30,8
31,31,1
32,32,4
33,33,1
34,34,4
35,35,8
36,36,8
37,37,1
38,38,4
39,39,8
40,40,8
41,41,9
42,42,10
43,43,8
44,44,5
45,45,6
46,46,8
47,47,5
48,48,6
49,49,8
50,50,8
51,51,8
52,52,8
53,53,8
54,54,1
55,55,4
56,56,8
57,57,5
58,58,6
59,59,8
60,60,5
61,61,6
62,62,8
63,63,1
64,64,4
65,65,1
66,66,4
67,67,5
68,68,6
69,69,8
70,70,5
71,71,6
72,72,1
73,73,4
74,74,1
75,75,4
76,76,5
77,77,6
78,78,8
79,79,1
80,80,4
81,81,8
82,82,1
83,83,4
84,84,8
85,85,5
86,86,6
87,87,8
88,88,8
89,89,9
90,90,10
91,91,1
92,92,4
93,93,8
94,94,5
95,95,6
96,96,5
97,97,6
98,98,8
99,99,1
100,100,4
101,101,9
102,102,10
103,103,9
104,104,10
105,105,1
106,106,4
107,107,8
108,108,1
109,109,4
110,110,8
111,111,8
112,112,1
113,113,4
114,114,9
115,115,10
116,116,5
117,117,6
118,118,5
119,119,6
120,120,8
121,121,8
122,122,8
123,123,8
124,124,9
125,125,10
126,126,5
127,127,6
128,128,8
129,129,1
130,130,4
131,131,1
132,132,4
133,133,8
134,134,8
135,135,1
136,136,4
137,137,8
138,138,1
139,139,4
140,140,5
141,141,6
142,142,5
143,143,6
144,144,5
145,145,6
146,146,8
147,147,8
148,148,1
149,149,4
150,150,5
151,151,6
152,152,8
153,153,9
154,154,10
155,155,8
156,156,8
157,157,9
158,158,10
159,159,8
160,160,5
161,161,6
162,162,8
163,163,1
164,164,4
165,165,1
166,166,4
167,167,8
168,168,8
169,169,5
170,170,6
171,171,1
172,172,4
173,173,8
174,174,8
175,175,8
176,176,5
177,177,6
178,178,8
179,179,8
180,180,1
181,181,4
182,182,8
183,183,9
184,184,10
185,185,8
186,186,5
187,187,6
188,188,8
189,189,8
190,190,9
191,191,10
192,192,1
193,193,4
194,194,5
195,195,6
196,196,8
197,197,5
198,198,6
199,199,8
200,200,8
201,201,9
202,202,10
203,203,1
204,204,4
205,205,8
206,206,1
207,207,4
208,208,8
209,209,8
210,210,8
211,211,8
212,212,5
213,213,6
214,214,8
215,215,1
216,216,4
217,217,8
218,218,8
219,219,8
220,220,8
221,221,8
222,222,1
223,223,4
224,224,8
225,225,8
226,226,8
227,227,8
228,228,8
229,229,8
230,230,1
231,231,4
232,232,5
233,233,6
234,234,8
235,235,8
236,236,8
237,237,5
238,238,6
239,239,8
240,240,9
241,241,10
242,242,8
243,243,8
244,244,1
245,245,4
246,246,8
247,247,5
248,248,6
249,249,1
250,250,4
251,251,1
252,252,4
253,253,9
254,254,10
255,255,8
256,256,8
257,257,8
258,258,5
259,259,6
260,260,8
261,261,8
262,262,8
263,263,1
264,264,4
265,265,8
266,266,8
267,267,1
268,268,4
269,269,8
270,270,9
271,271,10
272,272,1
273,273,4
