id,user_id,session_id,event_type,product_id,product_variant_id,metadata,created_at
1,1000636,session_1000636_419872,ClickProduct,2579386,699,"{""product_type"": ""food"", ""price"": 97.14}",2017-11-24 16:08:25
2,1000084,session_1000084_419872,ClickProduct,4474837,1173,"{""product_type"": ""shoes"", ""price"": 119.33}",2017-11-24 16:58:59
3,1005649,session_1005649_419877,ClickProduct,4415159,1161,"{""product_type"": ""book"", ""price"": 24.23}",2017-11-24 21:24:41
4,1000349,session_1000349_419878,ClickProduct,2831190,792,"{""product_type"": ""furniture"", ""price"": 265.08}",2017-11-24 22:56:04
5,1005712,session_1005712_419879,ClickProduct,2846720,799,"{""product_type"": ""sport_equipment"", ""price"": 15.03}",2017-11-24 23:03:08
6,1005712,session_1005712_419879,ClickProduct,221387,52,"{""product_type"": ""toy"", ""price"": 40.67}",2017-11-24 23:04:25
7,1003724,session_1003724_419879,ClickProduct,3012053,848,"{""product_type"": ""shoes"", ""price"": 146.4}",2017-11-24 23:05:24
8,1003724,session_1003724_419879,PlaceOrder,2994876,839,"{""order_id"": 10001, ""product_type"": ""shoes"", ""price"": 128.47, ""quantity"": 1}",2017-11-24 23:06:49
9,1000349,session_1000349_419879,ClickProduct,3523128,956,"{""product_type"": ""electronic"", ""price"": 202.86}",2017-11-24 23:07:48
10,1003724,session_1003724_419879,AddToCart,3227505,894,"{""product_type"": ""clothes"", ""price"": 38.51, ""quantity"": 1}",2017-11-24 23:29:58
11,1002909,session_1002909_419879,ClickProduct,832994,229,"{""product_type"": ""toy"", ""price"": 31.79}",2017-11-24 23:51:24
12,1001566,session_1001566_419879,ClickProduct,1464478,406,"{""product_type"": ""furniture"", ""price"": 240.49}",2017-11-24 23:56:11
13,1001566,session_1001566_419880,ClickProduct,1113979,302,"{""product_type"": ""furniture"", ""price"": 218.75}",2017-11-25 00:03:33
14,1000222,session_1000222_419880,AddToCart,2707677,750,"{""product_type"": ""toy"", ""price"": 42.36, ""quantity"": 1}",2017-11-25 00:29:21
15,1005498,session_1005498_419881,ClickProduct,4028523,1063,"{""product_type"": ""shoes"", ""price"": 90.61}",2017-11-25 01:01:02
16,1005498,session_1005498_419881,AddToCart,4593774,1199,"{""product_type"": ""book"", ""price"": 25.64, ""quantity"": 1}",2017-11-25 01:13:34
17,1001466,session_1001466_419881,ClickProduct,4275288,1125,"{""product_type"": ""cosmetic"", ""price"": 68.82}",2017-11-25 01:24:42
18,1001466,session_1001466_419881,PlaceOrder,334615,79,"{""order_id"": 10002, ""product_type"": ""accessory"", ""price"": 76.04, ""quantity"": 1}",2017-11-25 01:28:51
19,1005616,session_1005616_419881,ClickProduct,4895295,1283,"{""product_type"": ""book"", ""price"": 30.48}",2017-11-25 01:39:05
20,1005616,session_1005616_419881,ClickProduct,3855288,1026,"{""product_type"": ""book"", ""price"": 15.47}",2017-11-25 01:40:03
21,1005616,session_1005616_419881,ClickProduct,461740,114,"{""product_type"": ""book"", ""price"": 18.72}",2017-11-25 01:40:30
22,1005616,session_1005616_419881,ClickProduct,455385,111,"{""product_type"": ""furniture"", ""price"": 306.0}",2017-11-25 01:41:04
23,1005616,session_1005616_419881,ClickProduct,1152335,313,"{""product_type"": ""furniture"", ""price"": 376.98}",2017-11-25 01:41:31
24,1000222,session_1000222_419881,ClickProduct,140359,28,"{""product_type"": ""cosmetic"", ""price"": 73.59}",2017-11-25 01:53:34
25,10009,session_10009_419882,ClickProduct,349984,82,"{""product_type"": ""accessory"", ""price"": 79.46}",2017-11-25 02:02:03
26,1002927,session_1002927_419882,ClickProduct,2256042,619,"{""product_type"": ""accessory"", ""price"": 26.13}",2017-11-25 02:08:38
27,10009,session_10009_419882,PlaceOrder,1993958,544,"{""order_id"": 10003, ""product_type"": ""toy"", ""price"": 33.82, ""quantity"": 1}",2017-11-25 02:31:40
28,1002526,session_1002526_419882,PlaceOrder,3172409,887,"{""order_id"": 10004, ""product_type"": ""electronic"", ""price"": 653.47, ""quantity"": 1}",2017-11-25 02:40:35
29,1001419,session_1001419_419882,ClickProduct,816139,227,"{""product_type"": ""food"", ""price"": 92.73}",2017-11-25 02:44:17
30,1001326,session_1001326_419882,PlaceOrder,1864005,505,"{""order_id"": 10005, ""product_type"": ""electronic"", ""price"": 967.96, ""quantity"": 1}",2017-11-25 02:44:50
31,1005074,session_1005074_419882,ClickProduct,2737657,759,"{""product_type"": ""electronic"", ""price"": 667.41}",2017-11-25 02:56:55
32,1003901,session_1003901_419883,AddToCart,1292667,347,"{""product_type"": ""shoes"", ""price"": 92.05, ""quantity"": 1}",2017-11-25 03:16:31
33,1002927,session_1002927_419883,ClickProduct,4718062,1241,"{""product_type"": ""furniture"", ""price"": 347.72}",2017-11-25 03:19:25
34,1002927,session_1002927_419883,ClickProduct,2410985,666,"{""product_type"": ""furniture"", ""price"": 211.78}",2017-11-25 03:23:14
35,1002927,session_1002927_419883,ClickProduct,4333868,1135,"{""product_type"": ""food"", ""price"": 18.29}",2017-11-25 03:26:29
36,1001466,session_1001466_419883,ClickProduct,2517919,687,"{""product_type"": ""accessory"", ""price"": 19.89}",2017-11-25 03:39:04
37,1000792,session_1000792_419883,PlaceOrder,934383,260,"{""order_id"": 10006, ""product_type"": ""sport_equipment"", ""price"": 12.07, ""quantity"": 1}",2017-11-25 03:40:07
38,1001466,session_1001466_419883,ClickProduct,5026955,1308,"{""product_type"": ""accessory"", ""price"": 45.48}",2017-11-25 03:41:05
39,1004584,session_1004584_419883,PlaceOrder,3544246,964,"{""order_id"": 10007, ""product_type"": ""accessory"", ""price"": 13.94, ""quantity"": 1}",2017-11-25 03:45:52
40,1002526,session_1002526_419883,ClickProduct,2930862,816,"{""product_type"": ""cosmetic"", ""price"": 63.36}",2017-11-25 03:46:23
41,1001466,session_1001466_419883,AddToCart,5066336,1318,"{""product_type"": ""accessory"", ""price"": 8.98, ""quantity"": 1}",2017-11-25 03:46:53
42,1002526,session_1002526_419883,ClickProduct,870595,240,"{""product_type"": ""book"", ""price"": 31.27}",2017-11-25 03:48:20
43,1001466,session_1001466_419883,PlaceOrder,1257002,335,"{""order_id"": 10008, ""product_type"": ""accessory"", ""price"": 75.32, ""quantity"": 1}",2017-11-25 03:51:42
44,1002927,session_1002927_419884,AddToCart,2961116,825,"{""product_type"": ""food"", ""price"": 79.13, ""quantity"": 1}",2017-11-25 04:20:53
45,1001326,session_1001326_419885,ClickProduct,870086,239,"{""product_type"": ""furniture"", ""price"": 190.81}",2017-11-25 05:52:55
46,1001326,session_1001326_419885,ClickProduct,2255678,618,"{""product_type"": ""furniture"", ""price"": 258.13}",2017-11-25 05:59:27
